path	label	pca_feat
s3://ad-p8-24/Test/Pineapple Mini/270_100.jpg	Pineapple Mini	[-7.064798872594667,4.776669840985827,5.37081060803563,-14.282618573708136,-13.407020370520184,-3.771094380225077,-1.075979183466239,6.641936008048778,-8.48369184546206,6.791546781302819,-7.2647220946618924,-4.59725703951003,-3.0480535911622746,-7.808092476386179,3.624390636392849]
s3://ad-p8-24/Test/Pineapple Mini/273_100.jpg	Pineapple Mini	[-8.035949605331497,4.721900564398988,3.8874567066397123,-13.244615946083458,-13.690710223792271,-3.0950853896016532,-2.092000590074937,7.117809261293201,-7.451852523602015,6.9086344992284205,-7.525474586892803,-5.4680481902488225,-4.166336882583653,-9.426408161183213,1.9650853669730224]
s3://ad-p8-24/Test/Cauliflower/r_309_100.jpg	Cauliflower	[-9.106680372067625,3.0794179799982797,1.7869529886741466,-10.248330212204515,-14.652063430861622,3.187480460325541,-4.093459007957522,0.4287307439551973,0.11030503936880846,8.77130087660045,-6.480854817346091,7.5101255594934235,4.296440178809492,-6.706086834502468,8.367540917397365]
s3://ad-p8-24/Test/Pineapple/271_100.jpg	Pineapple	[-9.815718581515128,6.77731868607114,-1.890748802487782,-13.58576436924676,-10.626121476760538,-4.120152769881705,-2.9508396838096735,2.347972376351819,-6.719168891499672,10.08963047453428,-8.042398099778818,-8.984537957641262,-2.414987367259968,-4.8196199451309125,-3.6513197766576218]
s3://ad-p8-24/Test/Cauliflower/r2_247_100.jpg	Cauliflower	[-7.5514559277316975,4.970727723576993,0.8286956430417594,-10.811933882470461,-13.893011562591683,-3.0627674006871297,-3.8578467126239144,0.5403613272453821,-0.6626389828513461,10.890440048339483,-6.36021835733402,6.009980175347898,1.6177428512605747,-3.2435556511884216,5.331214040350242]
s3://ad-p8-24/Test/Lychee/94_100.jpg	Lychee	[-5.563899027843251,8.321820029871935,2.5983476157996135,-15.324895720296551,-7.46867640193816,-8.269271943174585,-2.1660940165366434,-1.933543286334066,-4.820534143758339,7.607725598778152,-6.88173212479069,-1.712711299932568,-0.32225507500600686,-0.1605431797606095,3.65252093111612]
s3://ad-p8-24/Test/Pear Forelle/r_7_100.jpg	Pear Forelle	[3.94345087801096,10.608461632512764,0.015513119596846339,0.4915256417590098,6.657002753641835,-3.370806806559173,0.17216126923805278,-3.1638809903592233,-0.15472518332032945,4.3431105789383215,-2.8253688754065593,3.2613257350796663,-1.3634852725000077,1.1197792501942747,-2.3437589098892695]
s3://ad-p8-24/Test/Pear Forelle/r_121_100.jpg	Pear Forelle	[3.1931075394648625,13.759749312562954,1.690016095825732,2.715448414040254,6.983335696319206,-0.6638454467773749,0.7187938142748133,2.6437651338280146,1.3820864342369563,3.5116230685252985,-2.8549878191556837,3.8977418745588626,-7.533398055176615,5.55998597196696,1.132790575033336]
s3://ad-p8-24/Test/Pear Red/r_94_100.jpg	Pear Red	[6.86110244698215,5.809110455887769,2.410839000037401,-5.049001040538621,3.365835789737653,5.985026007193645,-1.726923701473765,-0.19515322795892748,-5.486615815832946,1.1093416002046956,6.152149653276235,-0.21554502965460062,-1.824624222025782,3.4111438115802946,4.455486872138208]
s3://ad-p8-24/Test/Pear Forelle/r_175_100.jpg	Pear Forelle	[0.09693556845547605,11.278575233705284,1.7708949801525267,0.5088966489123515,2.1562329214964446,2.0963634564501126,-2.8949639345482163,2.247704413787246,0.57851192247209,7.974349411273746,-0.8186114835855295,4.56303951923689,-9.880516347879123,5.5639012199829,0.459140682276794]
s3://ad-p8-24/Test/Cantaloupe 2/194_100.jpg	Cantaloupe 2	[0.09228787165778563,13.410948571025935,-5.713604862808632,1.9851503689323888,-4.921828959856284,-5.145545132887851,-10.389528655690574,-4.312449990345141,1.7422099603037382,-2.1843429862217087,-2.426223194518741,3.680776752514997,1.0106595470092778,7.684483640827197,0.07512704770266512]
s3://ad-p8-24/Test/Pepper Orange/r_100_100.jpg	Pepper Orange	[-3.1608757563362198,-8.227185335620835,10.374069343687346,-3.1540511717021897,-9.55902041367283,12.01024592626418,-2.0556665318686314,2.4272604153821935,7.271716639941448,-0.5097669289241118,7.115952922160982,2.784988746435144,-12.344877900026754,3.672608132225882,-2.6251293739325945]
s3://ad-p8-24/Test/Cantaloupe 2/178_100.jpg	Cantaloupe 2	[-1.2458784602174484,14.5282177264449,-7.3222390671648885,2.4308648353097553,-2.845221569976317,-6.453208906509837,-12.49629967622849,-6.529405003494719,4.141429581763404,-3.5805972456085713,-1.520621149396165,3.994572369820364,2.264447314205907,6.296044257703398,0.9352941006043968]
s3://ad-p8-24/Test/Pear Forelle/r2_125_100.jpg	Pear Forelle	[6.550756324106218,9.154099301236139,0.6816572488878648,2.253935185477922,5.867034798921217,-0.8541354260702307,0.16260243558226892,0.09065882916947042,-0.7569555875690996,4.804448943190885,-1.3547414265635225,4.535029584319375,-5.856175575946789,3.3082182051670497,0.08524671678992547]
